;;merchant.txt don't delete this line!
;;Map  X  Y   Name  Face  Body  Sabuk
;[功能中心]
;-------------------------------------------------------------------------------
毒蛇/流浪卢                         2        361   226    流浪卢         0    3
毒蛇/蛇谷老人                       2        343   219    蛇谷老人       0    9
毒蛇/啊福                           2        331   225    啊福           0   34
毒蛇/六面神石1                      2        306   244    六面神石       0   56
毒蛇/六面神石2                      2        314   193    六面神石       0   56
毒蛇/路标栏                         2        316   231    路标栏         0   51
毒蛇/断乔先生                       2        347   193    断乔先生       0   18
;毒蛇/啊琨                          2        337 219      啊琨 0 2
毒蛇/蛇谷老太                       2        337 223      蛇谷老太 0 7 
毒蛇/蛇谷老矿夫                     2        360 208      蛇谷老矿夫 0 9 
毒蛇/矿山老人                       D421     34  368      矿山老人 0 1 
;-------------------------------------------------------------------------------
;[沙巴克]
;-------------------------------------------------------------------------------
沙巴克/老胡                         3        195   183    老胡           0    0
沙巴克/双喜                         3        229   150    双喜           0    7
沙巴克/晶晶                         3        204   196    晶晶           0    5
沙巴克/惠莲                         3        214   128    惠莲           0    6
沙巴克/园老板                       3        229   168    园老板         0    3
沙巴克/多多                         3        211   183    多多           0    5
沙巴克/啊翔                         3        198   180    啊翔           0   28
沙巴克/俞公                         3        203   197    俞公           0   34
沙巴克/兵器商                       3        168   158    兵器商         0    0
沙巴克/沙巴克管理员                 3        193   146    沙巴克管理员   0    8
沙巴克/六面神石                     3        222   159    六面神石       0   56
沙巴克/六面神石                     3        294   539    六面神石 0 56
沙巴克/六面神石                     3        49    566    六面神石 0 56
沙巴克/六面神石                     3        71    140    六面神石 0 56 
沙巴克/六面神石                     3        71    140    六面神石 0 56 
沙巴克/完美                         3        289   513    敏贞     0 10 
沙巴克/武虎                         3        280   528    敏国     0 32 
沙巴克/兵器商                       3        72    161    定国     0 28 
沙巴克/完美                         3        75    516    在奎     0 34 
沙巴克/武虎                         3        64    505    巨汉     0 61 
沙巴克/兵器商                       3        53    550    正旱     0 26 
沙巴克/完美                         3        83    140    完美     0 13 
沙巴克/武虎                         3        95    150    武虎     0 3 
沙巴克/兵器商                       3        302   513    定国     0 31 
沙巴克/沙巴克旗帜0                  3        205   157    沙巴克旗帜     0 10000
沙巴克/沙巴克旗帜                   3        202   138    沙巴克旗帜     0 10000
沙巴克/沙巴克旗帜                   3        189   151    沙巴克旗帜     0 10000
沙巴克/沙巴克旗帜                   3        204   146    沙巴克旗帜     0 10000
沙巴克/沙巴克旗帜                   3        195   155    沙巴克旗帜     0 10000
沙巴克/沙巴克旗帜                   3        165   190    沙巴克旗帜（左上）     0 10000
沙巴克/沙巴克旗帜                   3        170   195    沙巴克旗帜（左下）     0 10000
沙巴克/沙巴克旗帜                   3        233   196    沙巴克旗帜（正左）     0 10000
沙巴克/沙巴克旗帜                   3        238   190    沙巴克旗帜（正右）     0 10000
沙巴克/沙巴克旗帜                   3        240   123    沙巴克旗帜（右下）     0 10000
沙巴克/沙巴克旗帜                   3        236   119    沙巴克旗帜（右上）     0 10000
;-------------------------------------------------------------------------------
;[绿洲村庄]
;-------------------------------------------------------------------------------
绿洲/屠夫                           4        438    52    屠夫           0   11
绿洲/丁铁匠                         4        448    76    丁铁匠         0    0
绿洲/王铁匠                         4_001      7    13    王铁匠         0    0
绿洲/布商女店员                     4        462    91    布商女店员     0   35
绿洲/织女                           4_004      9     8    织女           0   35
绿洲/医仙                           4        430    75    医仙           0   10
绿洲/白老中医                       4_003     10    10    白老中医       0   10
绿洲/绿洲仓库保管员                 4        438    68    绿洲仓库保管员 0   39
绿洲/绿洲仓库管家                   4_003      8    15    绿洲仓库管家   0   39
绿洲/洪老板                         4        470    67    洪老板         0    3
绿洲/峨嵋侠                         4        475    55    峨嵋侠         0   38
绿洲/梅山侠                         4_005     14    22    梅山侠         0   38
绿洲/润京                           4        437    71    润京           0   34
绿洲/石宇                           4_003     12     8    石宇           0   34
绿洲/六面神石                       4        435    83    六面神石       0   56
绿洲/路标栏                         4        448    52    路标栏         0   51
绿洲/唯我独尊                       4        426    97    唯我独尊       0   18
绿洲/啊琨                           4        459    72    啊琨           0   2
绿洲/马匹商人                       4        439    57    马匹商人       0   24
;-------------------------------------------------------------------------------
;[沙漠土城]
;-------------------------------------------------------------------------------
沙漠土城/黄老板                     5        200   249    黄老板         0   11
沙漠土城/铁汉                       5        189   252    铁汉           0   27
沙漠土城/勇汉                       5_002      8    17    勇汉           0   27
沙漠土城/忠云                       5_002      7    19    忠云           0   27
沙漠土城/喜儿                       5        177   281    喜儿           0   35
沙漠土城/晓敏                       5_004     15    15    晓敏           0   35
沙漠土城/药郎                       5        200   237    药郎           0   34
沙漠土城/医神                       5_003     13    17    医神           0   34
沙漠土城/沙漠仓库小管家             5        171   265    沙漠仓库小管家 0   39
沙漠土城/沙漠仓库管家               5_006     12    23    沙漠仓库管家   0   39
沙漠土城/杂货商老李                 5        192   232    杂货商老李     0    3
沙漠土城/倩儿                       5        208   246    倩儿           0   12
沙漠土城/雪儿                       5_005      9    11    雪儿           0   12
沙漠土城/啊俊                       5_006      7    21    啊俊           0    9
沙漠土城/啊宋                       5        197   235    啊宋           0   34
沙漠土城/六面神石1                  5        204   289    六面神石       0   56
沙漠土城/六面神石2                  5        112   177    六面神石       0   56
沙漠土城/路标栏                     5        146   271    路标栏         0   51
沙漠土城/武功教头                   5        227   169    武功教头       0   15
沙漠土城/小秀玉女                   5        199   203    小秀玉女       0   35
沙漠土城/芙蓉仙子                   5        230   188    芙蓉仙子       0   35
沙漠土城/老郑                       5        198   252    老郑 0 1 
沙漠土城/润真                       5        181   277    润真 0 35 
;-------------------------------------------------------------------------------
;[沙漠-蚂蚁洞]
;-------------------------------------------------------------------------------
沙漠/啊全                           6        284   723    啊全           0    3
沙漠/六面神石                       6        273   731    六面神石       0   56
;-------------------------------------------------------------------------------
;[盟重县]
;-------------------------------------------------------------------------------
盟重/英龙                           74       354   297    英龙           0   27
盟重/晓薇                           74       324   277    晓薇           0   35
盟重/凌峰                           74       289   289    凌峰           0   34
盟重/丘叔                           74       323   310    丘叔           0   39
盟重/龙叔                           74       293   278    龙叔           0    3
盟重/善颖                           74       311   273    善颖           0   12
盟重/啊贵                           74       287   290    啊贵           0   34
盟重/六面神石1                      74       349   329    六面神石       0   56
盟重/六面神石2                      74       271   267    六面神石       0   56
盟重/六面神石                       75       184    90    六面神石       0   56
盟重/路标栏                         74       295   282    路标栏         0   51
盟重/武术教头                       74       300   299    武术教头       0   15
盟重/雷翁断珠                       74       290   299    雷翁断珠       0   18
盟重/盟重道长                       74       297   295    盟重道长       0   16
盟重/泼皮路白                       74       324   108    泼皮路白       0    9
盟重/啊琨                           74       313   281    啊琨           0    2
;-------------------------------------------------------------------------------
;[潘夜]
;-------------------------------------------------------------------------------
潘夜/啊琨                           8        245   231    啊琨           0   2
潘夜/啊胜                           8        224   210    啊胜           0   27
潘夜/晓洋                           8        249   257    晓洋           0   35
潘夜/成赫                           8        282   224    成赫           0    1
潘夜/满春                           8        231   260    满春           0   39
潘夜/中叔                           8        253   291    中叔           0    3
潘夜/晓华                           8        266   285    晓华           0   12
潘夜/泼皮                           8        271   222    泼皮           0   34
潘夜/六面神石1                      8        288   241    六面神石       0   57
潘夜/六面神石2                      8        113   463    六面神石       0   57
潘夜/六面神石3                      8        668   388    六面神石       0   57
潘夜/六面神石4                      8        448   579    六面神石       0   57
潘夜/六面神石5                      8        424   239    六面神石       0   57
;------------------------------------------------------------------------------
;[潘夜神殿]
;------------------------------------------------------------------------------
潘夜/司马云天                       D1110     27    13    司马云天       0   36
潘夜/司马武林                       D1110      7    24    司马武林       0   40
潘夜/司马化林                       D1110      7    20    司马化林       0   37
潘夜/六面神石1                      D1110     15    18    六面神石       0   57
潘夜/六面神石2                      D1110     28    31    六面神石       0   57
潘夜/六面神石                       D11031   199   257    六面神石       0   57
潘夜/六面神石                       D1105    219    99    六面神石       0   57
;-------------------------------------------------------------------------------
;[流放岛]
;-------------------------------------------------------------------------------
流放岛/啊琨                         81       129   261    啊琨           0   2 
流放岛/次庸                         81       138   301    次庸           0   28
流放岛/小望                         81       119   297    小望           0   38
流放岛/六面神石                     81       129   265    六面神石       0   57
;------------------------------------------------------------------------------
;[失乐园]
;------------------------------------------------------------------------------
;-------传送石一个可以去潘夜，另一个去雪原-----------
失乐园/失乐园传送	                  9        190   579    六面神石       0   57	
;失乐园/六面神石	                    9        190   579    六面神石       0   57
失乐园/啊琨                          9        196   571    啊琨           0   2 
失乐园/志成                          9        196   526    志成           0   28
失乐园/晓惠                          9        204   628    晓惠           0   67
失乐园/幽美                          9        215   527    幽美           0   67
失乐园/玄浩                          9        174   581    玄浩           0   66
失乐园/宝英                          9        209   586    宝英           0   66
失乐园/啊成                          9        199   559    啊成           0   66
失乐园/啊珠                          9        190   610    啊珠           0   68
失乐园/世山                          9        256   554    世山           0   69
失乐园/小英                          9        160   555    小英           0   69
失乐园/晓勇                          9        223   531    晓勇           0   66
失乐园/路标栏1                       9        626   586    路标栏         0   51
失乐园/路标栏2                       9        590   559    路标栏         0   52
失乐园/路标栏3                       9        200   182    路标栏         0   52
失乐园/路标栏4                       9        559   229    路标栏         0   52
;-------------------------------------------------------------------------------
;[其他]
;-------------------------------------------------------------------------------
其他/生存游戏                        Island02  95    135   生存游戏场美眉 0   12
其他/魂滴                            D5071     20    23    魂滴           0   28
其他/铁虎                            D71650    23    27    铁虎           0   0
其他/啊紫                            D71651    23    27    啊紫           0   7
其他/晴儿                            D71653    23    27    晴儿           0   3
其他/灵儿                            D71652    23    27    灵儿           0   5
其他/云发                            D012_001  13    11    云发           0   18 
其他/云发                            E002_001  9     11    云发           0   18 
其他/云发                            01_001    17    16    云发           0   18 
其他/嘉登                            E002      65    12    嘉登           0   15 
其他/黄晶                            D001      152   355   黄晶           0   18 
其他/署箭                            E402_001  13    10    署箭           0   48 
其他/署箭                            D404_002  22    11    署箭           0   48 
其他/石堆                            D022      207   47    石堆           0   55 
其他/书架                            D022_001  64    21    书架           0   54
其他/牛老道                          D023_001  17    21    牛老道         0   20 
其他/奸商欧阳                        DM001     4     6     奸商欧阳       0   9 
其他/洞穴保管员                      D002      174   216   洞穴保管员     0   3 
其他/无理的道士                      DM002     14    22    无理的道士     0   48 
;-------------------------------------------------------------------------------
;[神舰]
;-------------------------------------------------------------------------------
神舰/火山                            D9033     10    15    火山           0   48
神舰/花珠                            D9012     10    12    花珠           0   48
神舰/花仙                            D90221    22    20    花仙           0   49
神舰/火龙                            D90211    22    20    火龙           0   48
神舰/火石                            D9011      9    13    火石           0   48
神舰/火风                            D90222    17    23    火风           0   48
神舰/火天                            D9031     10    15    火天           0   48
神舰/火郎                            D9032     12    11    火郎           0   48
神舰/霸王幽灵                        D903      54    54    霸王幽灵       0   76
神舰/霸王幽灵                        D900      45    58    霸王幽灵       0   76
神舰/霸王幽灵                        D90323    16     8    霸王幽灵       0   76
;-------------------------------------------------------------------------------
;[神舰每日跑船]
神舰/跑船专员                        D900      43    65    跑船专员       0   60
神舰/跑船专员3                       D901      163   96    跑船专员       0   60
神舰/跑船专员2a                      D9021     60    20    跑船专员       0   60
神舰/跑船专员2b                      D9022     175   156   跑船专员       0   60
神舰/跑船专员1                       D903      45    46    跑船专员       0   60

;-------------------------------------------------------------------------------
;[诺玛村落]
;-------------------------------------------------------------------------------
诺玛/六面神石                        41       184   136    六面神石       0   57	
;诺玛/瓦慈                            41       129    85    瓦慈           0   77
诺玛/图木勒                          41       145    82    图木勒         0   77
诺玛/儒帕                            41       141    108   儒帕           0   78
诺玛/啊莫                            41       168    125   啊莫           0   80
诺玛/啊勒                            41       168    84    啊勒           0   79
诺玛/肃良佳                          41       127    118   肃良佳         0   81
诺玛/羽霞                            41       155    105   羽霞           0   78
诺玛/禹老                            41       141    90    禹老           0   81
;诺玛/啊琨                            41       167    95    啊琨           0   2
诺玛/马匹商                          41       129    85    马匹商         0   33
;------------------------------------------------------------------------------
